Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
566,475,739,254,540,624,7,316,633,84
582,430,644,720,295,564,113,302,458,335
7,601,319,410,100,289,711,277,790,195
669,272,279,395,711,705,471,228,655,190
391,122,201,340,832,196,436,369,545,803
106,13,707,801,832,191,316,565,290,793
67,654,368,656,642,912,627,455,776,633
7,384,634,121,584,704,497,335,341,148
728,174,625,808,454,189,357,160,291,794
403,340,435,613,715,756,613,686,167,659
869,335,285,794,635,912,594,566,147,685
594,285,711,704,585,587,169,406,543,781
429,596,551,419,437,833,656,452,365,131
910,81,431,700,683,374,571,563,356,723
630,627,116,801,568,861,77,373,717,213
520,582,797,436,769,221,808,168,382,58
505,512,632,256,699,597,783,123,147,649
778,452,77,132,664,823,688,574,698,564
753,292,698,513,489,43,148,209,643,449
728,72,668,839,394,89,354,596,358,154
673,504,148,689,204,386,631,173,529,690
168,615,118,619,800,873,828,534,484,640
879,451,108,549,540,668,568,519,254,520
795,236,734,379,415,578,299,479,184,395
700,156,646,781,536,929,650,389,775,300
445,121,561,736,708,764,145,119,525,180
782,652,296,661,648,734,71,680,466,661
412,518,627,742,539,134,154,456,386,586
407,503,607,242,531,134,375,436,272,556
813,319,83,609,421,436,60,512,7,296
713,304,789,494,802,31,681,383,778,67
658,360,754,665,547,387,611,383,708,763
815,70,700,420,512,648,722,323,648,488
856,226,590,756,733,623,172,729,463,834
731,66,265,321,683,508,653,659,458,689
431,222,782,782,573,13,498,725,429,679
862,78,808,197,774,815,13,411,752,659
778,494,598,483,750,565,839,376,707,229
43,424,564,78,365,170,769,13,497,740
886,319,800,13,841,521,604,779,798,165
7,194,550,689,849,947,655,649,513,761
833,104,355,604,319,842,628,374,123,636
