road,id,model_type,name,lat,lon,length,condition
N1,200054,bridge,bridge 27,23.5779800248475,90.6419193089939,170.2375,A
N1,200055,link,link 28,23.574805325272,90.64366761633906,823.0,
N1,200056,bridge,bridge 28,23.5716306256965,90.6454159236842,29.526666666666664,A
N1,200057,link,link 29,23.5688170106743,90.6470198242062,704.0,
N1,200058,bridge,bridge 29,23.5660033956521,90.6486237247282,34.7,A
N1,200059,link,link 30,23.56259721264085,90.65218564754925,1066.0,
N1,200060,bridge,bridge 30,23.5591910296296,90.6557475703703,26.85,B
N1,200061,link,link 31,23.55744965987805,90.6577444974636,564.0,
N1,200062,bridge,bridge 31,23.5557082901265,90.6597414245569,29.556666666666665,A
N1,200063,link,link 32,23.55372524042405,90.6620476499073,649.0,
N1,200064,bridge,bridge 32,23.5517421907216,90.6643538752577,29.561666666666667,A
N1,200065,link,link 33,23.5497399676822,90.66670464253954,656.0,
N1,200066,bridge,bridge 33,23.5477377446428,90.6690554098214,9.1,A
N1,200067,link,link 34,23.54768119419635,90.6691237377232,19.0,
N1,200068,bridge,bridge 34,23.5476246437499,90.669192065625,5.2,A
N1,200069,link,link 35,23.54515503749995,90.6720106390625,795.0,
N1,200070,bridge,bridge 35,23.54268543125,90.6748292125,63.53,A
N1,200071,link,link 36,23.541038224025,90.67664350065,520.0,
N1,200072,bridge,bridge 36,23.5393910168,90.6784577888,5.1,C
N1,200073,link,link 37,23.5353953386611,90.68295335738,1297.0,
N1,200074,bridge,bridge 37,23.5313996605222,90.68744892596,25.133333333333333,B
N1,200075,link,link 38,23.530775811586402,90.68862205484746,299.0,
N1,200076,bridge,bridge 38,23.5301519626506,90.6897951837349,8.4,A
N1,200077,link,link 39,23.530268217975298,90.69611772901746,1303.0,
N1,200078,bridge,bridge 39,23.5303844733,90.7024402743,1408.8,C
N1,200079,link,link 40,23.53140153665,90.71336049885,2294.0,
N1,200080,bridge,bridge 40,23.5324186,90.7242807234,22.450000000000003,C
N1,200081,link,link 41,23.532088691599952,90.72672936645,556.0,
N1,200082,bridge,bridge 41,23.5317587831999,90.7291780095,6.0,B
N1,200083,link,link 42,23.53078192214995,90.74371562975,3076.0,
N1,200084,bridge,bridge 42,23.5298050611,90.75825325,16.5,C
N1,200085,link,link 43,23.530285294660402,90.76916648757665,2228.0,
N1,200086,bridge,bridge 43,23.5307655282208,90.7800797251533,3.9,C
N1,200087,link,link 44,23.5308169345816,90.785943621163,1707.0,
N1,200088,bridge,bridge 44,23.5308683409424,90.7918075171727,6.5,C
N1,200089,link,link 45,23.5313459087212,90.80141151533635,1513.0,
N1,200090,bridge,bridge 45,23.5318234765,90.8110155135,15.9,C
N1,200091,link,link 46,23.5323989028,90.82099649484995,2174.0,
